timestamp,emotion
2025-04-26 17:44:29,happy
2025-04-26 17:44:32,fear
2025-04-26 17:44:33,neutral
2025-04-26 17:44:33,fear
2025-04-26 17:44:34,sad
2025-04-26 17:44:34,fear
2025-04-26 17:44:35,neutral
2025-04-26 17:44:36,fear
2025-04-26 17:44:37,happy
2025-04-26 17:44:38,neutral
2025-04-26 17:44:39,angry
2025-04-26 17:44:40,sad
2025-04-26 17:44:40,sad
2025-04-26 17:44:41,neutral
2025-04-26 17:44:43,sad
2025-04-26 17:44:43,fear
2025-04-26 17:44:44,sad
2025-04-26 17:44:45,sad
2025-04-26 17:44:46,happy
2025-04-26 17:44:47,happy
2025-04-26 17:44:48,happy
2025-04-26 17:44:49,happy
2025-04-26 17:44:49,happy
2025-04-26 17:44:50,happy
2025-04-26 17:44:50,sad
2025-04-26 17:44:51,sad
2025-04-26 17:44:52,sad
2025-04-26 17:44:52,fear
2025-04-26 17:44:53,angry
2025-04-26 17:44:54,sad
2025-04-26 17:44:54,fear
2025-04-26 17:44:54,fear
2025-04-26 17:44:55,fear
2025-04-26 17:44:55,angry
2025-04-26 17:44:55,angry
2025-04-26 17:44:56,sad
2025-04-26 17:44:57,fear
2025-04-26 17:44:57,angry
2025-04-26 17:44:57,angry
2025-04-26 17:44:58,angry
2025-04-26 17:44:58,fear
2025-04-26 17:44:58,sad
2025-04-26 17:44:59,sad
2025-04-26 17:44:59,fear
2025-04-26 17:45:00,sad
2025-04-26 17:45:00,fear
2025-04-26 17:45:00,fear
2025-04-26 17:45:01,sad
2025-04-26 17:45:01,sad
2025-04-26 17:45:01,sad
2025-04-26 17:45:02,sad
2025-04-26 17:45:02,sad
2025-04-26 17:45:03,angry
2025-04-26 17:45:04,neutral
2025-04-26 17:45:04,angry
2025-04-26 17:45:04,sad
2025-04-26 17:45:05,sad
2025-04-26 17:45:05,fear
2025-04-26 17:45:05,angry
2025-04-26 17:45:06,fear
2025-04-26 17:45:06,fear
2025-04-26 17:45:06,fear
2025-04-26 17:45:07,sad
2025-04-26 17:45:07,sad
2025-04-26 17:45:08,sad
2025-04-26 17:45:08,fear
2025-04-26 17:45:08,sad
2025-04-26 17:45:09,fear
2025-04-26 17:45:09,sad
2025-04-26 17:45:09,sad
2025-04-26 17:45:10,sad
2025-04-26 17:45:10,sad
2025-04-26 17:45:11,fear
2025-04-26 17:45:11,fear
2025-04-26 17:45:11,sad
2025-04-26 17:45:12,fear
2025-04-26 17:45:12,fear
2025-04-26 17:45:13,fear
2025-04-26 17:45:13,fear
2025-04-26 17:45:14,neutral
2025-04-26 17:45:14,happy
2025-04-26 17:45:15,fear
2025-04-26 17:45:16,angry
2025-04-26 17:45:17,sad
2025-04-26 17:45:18,fear
2025-04-26 17:45:19,fear
2025-04-26 17:45:20,angry
2025-04-26 17:45:21,sad
2025-04-26 17:45:22,fear
2025-04-26 17:45:23,sad
2025-04-26 17:45:24,neutral
2025-04-26 17:45:25,fear
2025-04-26 17:45:27,sad
2025-04-26 17:45:27,fear
2025-04-26 17:45:28,fear
2025-04-26 17:45:28,sad
2025-04-26 17:45:29,neutral
2025-04-26 17:45:29,fear
2025-04-26 17:45:30,fear
2025-04-26 17:45:30,fear
2025-04-26 17:45:31,fear
2025-04-26 17:45:31,happy
2025-04-26 17:45:31,happy
2025-04-26 17:45:32,happy
2025-04-26 17:45:33,happy
2025-04-26 17:45:34,fear
2025-04-26 17:45:34,fear
2025-04-26 17:45:34,sad
2025-04-26 17:45:35,sad
2025-04-26 17:45:35,fear
2025-04-26 17:45:35,sad
2025-04-26 17:45:36,sad
2025-04-26 17:45:36,sad
2025-04-26 17:45:36,sad
2025-04-26 17:45:37,sad
2025-04-26 17:45:37,sad
2025-04-26 17:45:37,disgust
2025-04-26 17:45:38,disgust
2025-04-26 17:45:39,fear
2025-04-26 17:45:39,fear
2025-04-26 17:45:40,sad
2025-04-26 17:45:40,angry
2025-04-26 17:45:41,sad
2025-04-26 17:45:42,fear
2025-04-26 17:45:42,sad
2025-04-26 17:45:42,fear
2025-04-26 17:45:43,fear
2025-04-26 17:45:43,fear
2025-04-26 17:45:43,sad
2025-04-26 17:45:44,fear
2025-04-26 17:45:44,sad
2025-04-26 17:45:44,sad
2025-04-26 17:45:45,fear
2025-04-26 17:45:46,sad
2025-04-26 17:45:47,neutral
2025-04-26 17:45:47,neutral
2025-04-26 17:45:48,fear
2025-04-26 17:45:48,fear
2025-04-26 17:45:48,fear
2025-04-26 17:45:49,fear
2025-04-26 17:45:49,fear
2025-04-26 17:45:49,fear
2025-04-26 17:45:50,fear
2025-04-26 17:45:50,fear
2025-04-26 17:45:51,sad
2025-04-26 17:45:51,neutral
2025-04-26 17:45:51,fear
2025-04-26 17:45:52,angry
2025-04-26 17:45:53,sad
2025-04-26 17:45:53,sad
2025-04-26 17:45:53,fear
2025-04-26 17:45:53,fear
2025-04-26 17:45:54,angry
2025-04-26 17:45:55,sad
2025-04-26 17:45:56,sad
2025-04-26 17:45:57,fear
2025-04-26 17:45:57,sad
2025-04-26 17:45:57,fear
2025-04-26 17:45:58,fear
2025-04-26 17:45:58,fear
2025-04-26 17:45:58,fear
2025-04-26 17:45:59,fear
2025-04-26 17:45:59,fear
2025-04-26 17:46:00,fear
2025-04-26 17:46:01,fear
2025-04-26 17:46:02,fear
2025-04-26 17:46:04,happy
2025-04-26 17:46:05,angry
2025-04-26 17:46:08,sad
2025-04-26 17:46:08,fear
2025-04-26 17:46:09,surprise
2025-04-26 17:46:09,fear
2025-04-26 17:46:09,angry
2025-04-26 17:46:10,fear
2025-04-26 17:46:10,fear
2025-04-26 17:46:11,fear
2025-04-26 17:46:11,fear
2025-04-26 17:46:12,neutral
2025-04-26 17:46:13,angry
2025-04-26 17:46:14,angry
2025-04-26 17:46:14,happy
2025-04-26 17:46:15,neutral
2025-04-26 17:46:15,happy
2025-04-26 17:46:15,fear
2025-04-26 17:46:16,happy
2025-04-26 17:46:16,happy
2025-04-26 17:46:17,happy
2025-04-26 17:46:17,happy
2025-04-26 17:46:17,fear
2025-04-26 17:46:18,angry
2025-04-26 17:46:18,happy
2025-04-26 17:46:18,angry
2025-04-26 17:46:19,angry
2025-04-26 17:46:19,angry
2025-04-26 17:46:19,neutral
2025-04-26 17:46:20,angry
2025-04-26 17:46:20,neutral
2025-04-26 17:46:20,neutral
2025-04-26 17:46:21,happy
2025-04-26 17:46:21,angry
2025-04-26 17:46:22,angry
2025-04-26 17:46:22,fear
2025-04-26 17:46:22,fear
2025-04-26 17:46:23,angry
2025-04-26 17:46:23,neutral
2025-04-26 17:46:23,angry
2025-04-26 17:46:24,happy
2025-04-26 17:46:24,fear
2025-04-26 17:46:25,sad
2025-04-26 17:46:25,angry
2025-04-26 17:46:26,fear
2025-04-26 17:46:27,angry
2025-04-26 17:46:27,angry
2025-04-26 17:46:27,sad
2025-04-26 17:46:28,sad
2025-04-26 17:46:29,neutral
2025-04-26 17:46:29,fear
2025-04-26 17:46:29,angry
2025-04-26 17:46:30,neutral
2025-04-26 17:46:30,angry
2025-04-26 17:46:30,angry
2025-04-26 17:46:31,fear
2025-04-26 17:46:31,sad
2025-04-26 17:46:31,happy
2025-04-26 17:46:32,happy
2025-04-26 17:46:32,happy
2025-04-26 17:46:33,happy
2025-04-26 17:46:33,angry
2025-04-26 17:46:33,angry
2025-04-26 17:46:34,happy
2025-04-26 17:46:34,sad
2025-04-26 17:46:34,fear
2025-04-26 17:46:35,fear
2025-04-26 17:46:35,fear
2025-04-26 17:46:35,fear
2025-04-26 17:46:36,fear
2025-04-26 17:46:36,fear
2025-04-26 17:46:36,fear
2025-04-26 17:46:37,fear
2025-04-26 17:46:37,fear
2025-04-26 17:46:38,fear
2025-04-26 17:46:38,fear
2025-04-26 17:46:38,fear
2025-04-26 17:46:39,fear
2025-04-26 17:46:39,fear
2025-04-26 17:46:39,fear
2025-04-26 17:46:40,fear
2025-04-26 17:46:40,fear
2025-04-26 17:46:40,fear
2025-04-26 17:46:41,fear
2025-04-26 17:46:41,fear
2025-04-26 17:46:41,fear
2025-04-26 17:46:42,sad
2025-04-26 17:46:42,fear
2025-04-26 17:46:43,fear
2025-04-26 17:46:43,fear
2025-04-26 17:46:43,fear
2025-04-26 17:46:44,fear
2025-04-26 17:46:44,fear
2025-04-26 17:46:44,fear
2025-04-26 17:46:45,fear
2025-04-26 17:46:45,fear
2025-04-26 17:46:45,fear
2025-04-26 17:46:46,fear
